Id,Prediction
0,3264146.495556298
1,2685283.7682704898
2,3302141.945084377
3,2878799.7903894163
4,6195350.328275575
5,3710457.6675653956
6,2562514.0731209926
7,2731051.145452986
8,3829525.6136705275
9,3364715.832907646
10,4815128.369644063
11,3785605.5389153757
12,4139539.28250933
13,11576310.437220441
14,2957308.414794309
15,2567863.627710336
16,5150290.406172943
17,5271564.827497987
18,4245600.595224409
19,4937246.130098017
20,3118042.119775707
21,3733554.293474769
22,3921716.913827745
23,4788251.484943645
24,5016062.223848198
25,3233619.8421446923
26,3231082.7803239347
27,5083199.910717111
28,7810526.769319431
29,3771503.639775343
30,4073919.7631321056
31,2222828.8730712435
32,3767779.9006616627
33,3302141.945084377
34,5063357.429150641
35,3069510.6321254894
36,5351933.492142515
37,6320057.1622952605
38,3183710.7521967203
39,4370110.1655352395
40,5063357.429150641
41,3659361.84222366
42,6036050.208816798
43,3425843.4588768124
44,4970918.70982669
45,7818717.857947117
46,3492038.1775992773
47,2468345.8801363865
48,3640405.9822901017
49,6054019.294381991
50,3728137.6238672757
51,3257920.093983827
52,4132083.400711743
53,4318801.48662413
54,3378276.9533143546
55,3767507.89048101
56,6162854.149064297
57,4683614.314207099
58,3516070.896087093
59,6054019.294381991
60,2562514.0731209926
61,3120162.38586675
62,5885827.540925163
63,3066764.483311629
64,3580280.9405416166
65,1690292.1840349778
66,3837239.328408789
67,4135597.1786677865
68,3941569.7551725507
69,5684988.237953989
70,3378276.9533143546
71,3102104.865674709
72,4846604.321278891
73,4215979.857522996
74,8228807.95938025
75,3987009.5897059855
76,4788251.484943645
77,5083199.910717111
78,4588525.741159604
79,4331691.212280422
80,4432530.501649951
81,5155983.577848329
82,3730919.890763391
83,3537762.8610093123
84,5698075.2173455
85,3183710.7521967203
86,2746572.028632965
87,4810817.607328214
88,3649707.198904932
89,4564445.486481479
90,4500226.976497819
91,3332755.91695263
92,2956716.0720132687
93,5595643.678607465
94,4788251.484943645
95,4432530.501649951
96,5218608.21655842
97,4557505.591701689
98,3374524.8990885695
99,4351090.051838785
100,3943314.0519221495
101,2562514.0731209926
102,5101019.367533946
103,3431143.912218484
104,3032513.650588428
105,2678886.5646364996
106,4257753.99399388
107,3737273.991166014
108,3864270.134140031
109,3751895.850262845
110,5692173.617669334
111,4596300.306017516
112,3514711.8781008306
113,2524730.3412921173
114,3199874.622781354
115,4374328.876154629
116,2566108.956838267
117,2797641.222231321
118,2878799.7903894163
119,3830340.931664468
120,6642667.60478414
121,4148241.474823504
122,3530776.4702005205
123,5823813.383573465
124,3514151.553100697
125,3492038.1775992773
126,6847080.1811609045
127,3378276.9533143546
128,5635100.198224996
129,4722673.49972125
130,2488801.193748193
131,4421872.497099445
132,4157233.4626219952
133,2683266.136189203
134,5713317.958769058
135,2483697.8369466816
136,3417303.575559435
137,6333936.399557099
138,5010661.208750784
139,5063357.429150641
140,6320057.1622952605
141,3768557.918809366
142,4008066.236068969
143,2098968.012706923
144,5684988.237953989
145,2841437.9348593974
146,4822115.971626372
147,2494859.6984188124
148,3211016.6852510613
149,3378074.669684407
150,2774420.5944521655
151,2021575.9580421103
152,3495546.9293704582
153,4136276.078076092
154,2965060.6750921644
155,7042675.6451991275
156,4248720.632923255
157,4581661.013689137
158,3367090.8591128234
159,3378276.9533143546
160,4060673.3900996274
161,3216482.7290872494
162,2098968.012706923
163,4676669.206856968
164,4142714.63346314
165,4352941.552349932
166,3880664.581043309
167,6054019.294381991
168,2166622.2566307704
169,4857290.270955988
170,4846604.321278891
171,3156871.9726621127
172,4078116.9831051873
173,2021575.9580421103
174,3585890.3653014624
175,2439672.97367795
176,4326705.600992153
177,4588525.741159604
178,2189915.246936376
179,4557505.591701689
180,4647025.471279846
181,3431143.912218484
182,4068644.1588562103
183,4292068.287783658
184,5618566.650889727
185,2564294.0271821613
186,1977599.1234063995
187,4751144.286045487
188,4781277.575498267
189,2982781.231263739
190,4024464.303521619
191,4068644.1588562103
192,3869513.709527838
193,4445553.12516415
194,2520231.6326082996
195,5209121.939757378
196,3856765.228108653
197,2318716.3740117117
198,6740439.358079212
199,3530776.4702005205
200,3038266.224663489
201,6892188.605027301
202,3895666.397190853
203,3254348.749084354
204,3855816.759984425
205,6689327.710337139
206,6319060.138509541
207,3199874.622781354
208,5312357.633250896
209,3378276.9533143546
210,3036170.1173963943
211,5271564.827497987
212,7818717.857947117
213,2564294.0271821613
214,4355535.569064687
215,2041758.2665894937
216,4722001.520689318
217,3859863.8292154567
218,4846604.321278891
219,2774420.5944521655
220,6054019.294381991
221,5713317.958769058
222,3528648.3125551073
223,3399215.339162576
224,4132083.400711743
225,3591759.051624846
226,3495546.9293704582
227,4968646.802396283
228,3312609.0017559426
229,3461473.5117243156
230,4291804.582620648
231,4468637.077121088
232,4207962.856406486
233,2166622.2566307704
234,3302141.945084377
235,5083199.910717111
236,2564294.0271821613
237,3378276.9533143546
238,2444298.837330699
239,3731468.472506179
240,3215831.381440704
241,3335418.4195338595
242,3399215.339162576
243,3250472.526343352
244,4620743.1996696135
245,4636592.305859796
246,3232110.0344895306
247,4751144.286045487
248,3484137.0985361487
249,3785605.5389153757
250,3654568.2709842324
251,5341811.274176306
252,4529971.339005305
253,3276579.9818233843
254,3514151.553100697
255,6921895.025826069
256,1967413.6386368691
257,7818717.857947117
258,1921469.277839941
259,2774420.5944521655
260,3028218.1907213284
261,4445553.12516415
262,4364781.297982697
263,4739585.314939157
264,2488801.193748193
265,4288386.603405565
266,3714838.66616943
267,4568882.078795927
268,4205563.96698556
269,2876609.6426520096
270,3378276.9533143546
271,2901928.5597225875
272,5923454.273359524
273,3962158.2360842265
274,4557505.591701689
275,2470198.8378926804
276,4925053.709371837
277,5664958.542924164
278,3895666.397190853
279,3058829.690671914
280,5983917.569417271
281,5755777.605211239
282,3065204.127498711
283,3431143.912218484
284,4132083.400711743
285,1921469.277839941
286,4180924.138331679
287,3760259.260881667
288,4467976.008536822
289,3399215.339162576
290,4470928.6088127885
291,3547825.2240116885
292,3154813.9810822424
293,4499072.003522983
294,2589104.8959465055
295,6167905.976055432
296,2745012.3593011936
297,5020605.780363544
298,4042894.5068288306
299,4937246.130098017
300,4419754.3639025
301,6598553.220792545
302,3036170.1173963943
303,7551539.090274623
304,3663837.633215683
305,5202072.36520027
306,4623131.589608218
307,3837239.328408789
308,2685283.7682704898
309,3431143.912218484
310,3869513.709527838
311,2437119.991863832
312,3785605.5389153757
313,5245034.268330918
314,3576286.2864701534
315,4729036.207783582
316,2699355.3898629323
317,4557505.591701689
318,7818717.857947117
319,4775922.26094155
320,2470198.8378926804
321,4623131.589608218
322,3895666.397190853
323,4192322.7912278045
324,3514711.8781008306
325,4330857.154852268
326,3532790.6926308773
327,4435985.778263062
328,4780062.151337814
329,4717580.026675974
330,3843352.7109476947
331,3025804.028665948
332,3495546.9293704582
333,3194991.552713051
334,3895666.397190853
335,3868848.2685731295
336,1921469.277839941
337,5924522.5943317935
338,5931199.660285957
339,3547825.2240116885
340,5469870.291732423
341,5684988.237953989
342,4647189.688810134
343,5226492.964487563
344,3737273.991166014
345,3199874.622781354
346,3869513.709527838
347,6400863.343563108
348,2870014.2995931325
349,4788251.484943645
350,4088847.5991472458
351,4084231.7440226856
352,4807838.074046174
353,4191427.7320923028
354,3544144.229831854
355,4530129.895179444
356,3596611.1894967705
357,4592087.96590391
358,4912013.588462878
359,3495546.9293704582
360,4722673.49972125
361,2566108.956838267
362,3264146.495556298
363,4886314.400044333
364,5651036.832509118
365,3869513.709527838
366,2098968.012706923
367,3141213.7560195285
368,3038621.8519449322
369,2878799.7903894163
370,3910225.0536576533
371,3007231.737057395
372,3737273.991166014
373,3389711.1410047
374,3028892.5303065195
375,4439319.9813641645
376,3127212.4648524644
377,6817586.722140463
378,2339153.079816182
379,4502090.321445171
380,5802388.856232837
381,3231082.7803239347
382,3264146.495556298
383,6711597.287148965
384,5764361.699089199
385,4176822.0954229743
386,3699504.858261274
387,4374598.638052729
388,5501131.466019346
