ID,Count
18288,413.3373281129405
18289,329.8648125336924
18290,279.1672322338005
18291,230.66591048355625
18292,194.1521939273751
18293,173.79823927495528
18294,186.8803010706825
18295,216.7317885147218
18296,249.58017725727726
18297,322.5121208674811
18298,457.76932800196494
18299,507.49732258763123
18300,512.874116093792
18301,453.5971712922666
18302,485.00587215612336
18303,478.8798533253337
18304,466.65719704903415
18305,477.52830960247354
18306,489.2808637142999
18307,519.1764232362589
18308,498.9106127396774
18309,465.6802659884879
18310,467.369695642063
18311,456.3222947769465
18312,413.9720302467506
18313,330.3713380423849
18314,279.5959088278008
18315,231.02011063830528
18316,194.45032526802174
18317,174.0651160020679
18318,187.16726602107337
18319,217.06459206107172
18320,249.96342130587334
18321,323.00735591491497
18322,458.4722579081559
18323,508.27661255648025
18324,513.661662423921
18325,454.29369462303805
18326,485.7506252694541
18327,479.6151996008126
18328,467.3737747655377
18329,478.2615805084504
18330,490.03218131159923
18331,519.9736471046097
18332,499.67671734467893
18333,466.39534357377534
18334,468.08736743922805
18335,457.0230026842685
18336,414.40224634404683
18337,330.71467299577876
18338,279.8864759481066
18339,231.260195869031
18340,194.65240573226217
18341,174.24601135105365
18342,187.36177764225997
18343,217.29017416525897
18344,250.22319317383491
18345,323.34303792699893
18346,458.9487204010405
18347,508.80483370337924
18348,514.1954799275022
18349,454.76581458778674
18350,486.2554365199584
18351,480.1136346744413
18352,467.85948806659917
18353,478.75860884761244
18354,490.54144212438365
18355,520.5140242721708
18356,500.19600114053765
18357,466.88004005046696
18358,468.57382233400284
18359,457.4979590538383
18360,414.68767597023185
18361,330.94246077038633
18362,280.07925456576345
18363,231.4194819536039
18364,194.7864773110104
18365,174.36602752935127
18366,187.49082762358992
18367,217.43983805760706
18368,250.39554048401604
18369,323.5657483086613
18370,459.2648324946834
18371,509.1552854076504
18372,514.5496445704706
18373,455.0790456033149
18374,486.59035677847714
18375,480.4443246175591
18376,468.1817376681978
18377,479.0883654837354
18378,490.87931447350593
18379,520.872540966235
18380,500.54052330199863
18381,467.20161503342246
18382,468.896563950702
18383,457.81307190031816
18384,416.16512885918166
18385,332.12154547213777
18386,281.07712339035515
18387,232.24398531356434
18388,195.48046428074176
18389,174.9872603415037
18390,188.1588215886287
18391,218.2145346196869
18392,251.28765191173744
18393,324.718551194557
18394,460.9011052678609
18395,510.9693083240286
18396,516.3828865569851
18397,456.70040521824455
18398,488.3239851692304
18399,482.15605587102596
18400,469.84977966933286
18401,480.79526571410787
18402,492.62822360035113
18403,522.728310223483
18404,502.32385346839146
18405,468.86616504503826
18406,470.5671527411858
18407,459.4441723281174
18408,413.7976654973093
18409,330.2321858500351
18410,279.47814321315656
18411,230.92280511821178
18412,194.3684229177013
18413,173.99179988860953
18414,187.08843129056294
18415,216.97316459631105
18416,249.858136875668
18417,322.8713054270397
18418,458.2791496918152
18419,508.0625267784087
18420,513.4453084663536
18421,454.1023464148308
18422,485.54602742255236
18423,479.4131859912053
18424,467.1769172360959
18425,478.06013704232294
18426,489.82578007608197
18427,519.7546345432069
18428,499.46625383686785
18429,466.19889815891406
18430,467.8902093450169
18431,456.8305048932838
18432,413.0717801356646
18433,329.6528913550688
18434,278.98788164337634
18435,230.51771949815685
18436,194.0274611271306
18437,173.68658284386478
18438,186.76024008763844
18439,216.59254948611962
18440,249.41983482814942
18441,322.304923415138
18442,457.4752347496936
18443,507.1712816561205
18444,512.5446208489574
18445,453.3057584361264
18446,484.6942808248831
18447,478.5721976461593
18448,466.3573937979623
18449,477.2215222206374
18450,488.9665259208267
18451,518.8428790831838
18452,498.59008832766904
18453,465.3810903653834
18454,467.0694346472857
18455,456.029131169108
18456,414.2278619189032
18457,330.5755051011891
18458,279.7686970445309
18459,231.16287936876824
18460,194.57049413990012
18461,174.17268696444359
18462,187.2829340158649
18463,217.19873638362176
18464,250.11789686310254
18465,323.20697208688694
18466,458.75559039394324
18467,508.59072376739687
18468,513.9791015560777
18469,454.57444478742616
18470,486.0508155857849
18471,479.9115982691733
18472,467.6626083233201
18473,478.5571426501606
18474,490.3350175980963
18475,520.2949869969082
18476,499.9855138835607
18477,466.68357246827225
18478,468.3766419920381
18479,457.3054395409789
18480,414.86256405271337
18481,331.0820306098816
18482,280.1973736385313
18483,231.5170795235173
18484,194.86862548054683
18485,174.4395636915562
18486,187.5698989662558
18487,217.53153992997167
18488,250.50114091169868
18489,323.7022071343209
18490,459.45852030013435
18491,509.370013736246
18492,514.7666478862068
18493,455.2709681181977
18494,486.79556869911573
18495,480.6469445446523
18496,468.37918603982376
18497,479.2904135561375
18498,491.08633519539563
18499,521.092210865259
18500,500.75161848856237
18501,467.3986500535598
18502,469.09431378920317
18503,458.0061474483009
18504,415.29278015000966
18505,331.4253655632755
18506,280.487940758837
18507,231.75716475424298
18508,195.07070594478716
18509,174.62045904054196
18510,187.7644105874424
18511,217.7571220341589
18512,250.76091277966026
18513,324.0378891464048
18514,459.9349827930189
18515,509.89823488314494
18516,515.3004653897879
18517,455.7430880829464
18518,487.30037994962
18519,481.14537961828086
18520,468.8648993408852
18521,479.78744189529954
18522,491.59559600818
18523,521.63258803282
18524,501.27090228442097
18525,467.8833465302513
18526,469.58076868397796
18527,458.4811038178707
18528,415.5782097761946
18529,331.65315333788305
18530,280.6807193764938
18531,231.91645083881588
18532,195.20477752353543
18533,174.74047521883955
18534,187.89346056877233
18535,217.90678592650704
18536,250.93326008984138
18537,324.26059952806713
18538,460.2510948866618
18539,510.24868658741605
18540,515.6546300327562
18541,456.05631909847455
18542,487.6353002081387
18543,481.4760695613988
18544,469.18714894248376
18545,480.11719853142245
18546,491.9334683573022
18547,521.9911047268843
18548,501.615424445882
18549,468.2049215132069
18550,469.9035103006771
18551,458.7962166643506
18552,417.0556626651445
18553,332.8322380396345
18554,281.6785882010856
18555,232.7409541987763
18556,195.89876449326675
18557,175.36170803099202
18558,188.56145453381112
18559,218.68148248858682
18560,251.82537151756276
18561,325.4134024139628
