Id,SalePrice
1461,128422.0
1462,157578.4
1463,183316.5
1464,185374.0
1465,198527.4
1466,185479.5
1467,165634.37
1468,174071.75
1469,184022.74
1470,124575.0
1471,199695.58
1472,89298.0
1473,95835.43
1474,153732.0
1475,141450.1
1476,357535.48
1477,253486.72
1478,289821.13
1479,252822.81
1480,420126.82
1481,300239.77
1482,207158.16
1483,168088.67
1484,169420.87
1485,174209.99
1486,189551.35
1487,325681.56
1488,244331.33
1489,208305.85
1490,199484.5
1491,189349.0
1492,95405.33
1493,182435.06
1494,305168.01
1495,305170.76
1496,221748.99
1497,183034.65
1498,156768.4
1499,156672.88
1500,148487.99
1501,173628.67
1502,157670.02
1503,280898.11
1504,230863.97
1505,209582.52
1506,178841.0
1507,223321.72
1508,200614.0
1509,157568.89
1510,150644.37
1511,147001.74
1512,170427.9
1513,159833.51
1514,170059.94
1515,177406.0
1516,162656.5
1517,151494.12
1518,133928.8
1519,222808.78
1520,139499.08
1521,146298.0
1522,160079.0
1523,112986.7
1524,124778.77
1525,127602.32
1526,127968.5
1527,109052.78
1528,129805.5
1529,142962.25
1530,164132.0
1531,124494.35
1532,107203.33
1533,162709.0
1534,112321.58
1535,166129.0
1536,119642.58
1537,72499.74
1538,184573.73
1539,237564.7
1540,113914.56
1541,150961.98
1542,146634.5
1543,219110.04
1544,82226.15
1545,108436.0
1546,122934.0
1547,134724.5
1548,133808.34
1549,114426.93
1550,139033.53
1551,116574.0
1552,156191.84
1553,152183.5
1554,109483.74
1555,174721.5
1556,94718.08
1557,127236.01
1558,87991.86
1559,118566.45
1560,161861.98
1561,159595.5
1562,130864.5
1563,121858.0
1564,162210.55
1565,156689.24
1566,245801.4
1567,77707.86
1568,226456.0
1569,142677.54
1570,130677.25
1571,134089.89
1572,144714.37
1573,250165.02
1574,108956.0
1575,223519.69
1576,215117.7
1577,198497.85
1578,155691.45
1579,141035.5
1580,189908.5
1581,145212.5
1582,129398.0
1583,339309.72
1584,233590.99
1585,141010.0
1586,65688.66
1587,110690.5
1588,149480.62
1589,105179.4
1590,133736.08
1591,106681.28
1592,123026.25
1593,124063.75
1594,139418.91
1595,125670.74
1596,225389.46
1597,160122.53
1598,182781.5
1599,202823.91
1600,197234.5
1601,76659.33
1602,113996.25
1603,99649.32
1604,306021.24
1605,253470.25
1606,166556.67
1607,169718.34
1608,210855.53
1609,193933.74
1610,156224.36
1611,150080.37
1612,161641.68
1613,169625.74
1614,126256.75
1615,88973.0
1616,86114.0
1617,91890.0
1618,127902.0
1619,134274.58
1620,154707.72
1621,141749.82
1622,148877.76
1623,309959.76
1624,209001.4
1625,131456.33
1626,164337.87
1627,187664.5
1628,281864.6
1629,175543.85
1630,335676.77
1631,214770.17
1632,237115.88
1633,172592.26
